lead_id,business_name,city,industry,website,email,phone,source_url,last_verified,verification,need_signal,software_problem,offer,priority,score,status,next_action,follow_up_date,estimated_value,notes
SL020,BBC International,Tiruppur,Textile export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Exporter supplier listing,Document and buyer follow-up,Buyer follow-up CRM,B,74,Not contacted,Locate official company contact,,25000,Company listed by TEA
SL021,Glacier Apparels,Tiruppur,Garment export,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Manufacturer and exporter,Production status reporting,Production status dashboard,B,76,Not contacted,Locate official company contact,,30000,Company listed by TEA
SL022,Sri Amman Hosiery Mills,Tiruppur,Hosiery manufacturing,https://www.tea-india.org/,,,https://www.tea-india.org/,2026-07-11,Needs manual verification,Hosiery manufacturing,Stock and job progress visibility,Inventory and production tracker,B,79,Not contacted,Locate official company contact,,35000,Company listed by TEA
SL023,Nethaji Apparel Park,Tiruppur,Industrial park,https://www.nethajiapparelpark.com/,,,https://www.nethajiapparelpark.com/,2026-07-11,Needs manual verification,Multi-unit apparel park,Referral path to units needing dashboards,Park-level introduction and pilot referral,A,87,Not contacted,Verify park office contact,,20000,Ecosystem lead
SL024,CODISSIA,Coimbatore,Industry association,https://www.codissia.com/,,,https://www.codissia.com/,2026-07-11,Needs manual verification,MSME manufacturing network,Referral to quotation and service workflow pilots,Association introduction,A,88,Not contacted,Verify official contact route,,15000,Ecosystem multiplier
SL025,ELGi Equipments,Coimbatore,Manufacturing,https://www.elgi.com/,,,https://www.elgi.com/,2026-07-11,Needs manual verification,Large service and equipment network,Dealer or service reporting,Service dashboard,C,58,Research later,Use careers/vendor channel only,,50000,Large enterprise low cold-outreach fit
SL026,CRI Pumps,Coimbatore,Manufacturing,https://www.crigroups.com/,,,https://www.crigroups.com/,2026-07-11,Needs manual verification,Large product and dealer network,Dealer service reporting,Service tracker,C,57,Research later,Use careers/vendor channel only,,50000,Large enterprise
SL027,Roots Industries,Coimbatore,Manufacturing,https://www.rootsindia.com/,,,https://www.rootsindia.com/,2026-07-11,Needs manual verification,Multi-division manufacturing,Internal reporting,Operations dashboard,C,55,Research later,Use careers channel,,50000,Large enterprise
SL028,Lakshmi Machine Works,Coimbatore,Textile machinery,https://www.lmwglobal.com/,,,https://www.lmwglobal.com/,2026-07-11,Needs manual verification,Global machinery company,Service and reporting tools,Internship or internal-tools route,C,54,Research later,Use careers channel,,50000,Not a cold-sales target
SL029,Suguna Foods,Coimbatore,Food manufacturing,https://www.sugunafoods.com/,,,https://www.sugunafoods.com/,2026-07-11,Needs manual verification,Large distributed operations,Vendor and reporting tools,Internal dashboard,C,53,Research later,Use careers/vendor route,,50000,Not first outreach
SL030,KG Information Systems,Coimbatore,Software services,https://www.kgisl.com/,,,https://www.kgisl.com/,2026-07-11,Needs manual verification,Software and business services,Internship or subcontract route,Project support internship,B,72,Not contacted,Check careers and internship path,,15000,Opportunity rather than client
SL031,AIC RAISE,Coimbatore,Startup incubator,https://aicraise.com/,,,https://aicraise.com/,2026-07-11,Verified,Incubated startup network,Founder introductions and trial projects,Scoped startup software trial,A,95,Contacted,Follow up through senior and coordinator,,15000,Primary warm channel
SL032,Rathinam Techzone,Coimbatore,Startup ecosystem,https://www.rathinamtechzone.com/,,,https://www.rathinamtechzone.com/,2026-07-11,Needs manual verification,Campus technology ecosystem,Internship and founder introductions,Flexible project internship,A,90,Not contacted,Ask senior for named introduction,,15000,Warm local route
SL033,StartupTN,Chennai,Startup ecosystem,https://startuptn.in/,,,https://startuptn.in/,2026-07-11,Verified,State startup network,Events and founder discovery,Program and founder introduction,B,80,Not contacted,Check current programs,,10000,Ecosystem lead
SL034,TiE Chennai,Chennai,Founder network,https://chennai.tie.org/,,,https://chennai.tie.org/,2026-07-11,Needs manual verification,Founder and mentor network,Startup project referrals,Attend program and request introductions,B,75,Not contacted,Check events,,10000,Networking route
SL035,Chennai Angels,Chennai,Investor network,https://www.thechennaiangels.com/,,,https://www.thechennaiangels.com/,2026-07-11,Needs manual verification,Portfolio startup network,Founder discovery,Research portfolio companies,C,60,Research later,Map relevant portfolio companies,,10000,No cold pitch to investors
SL036,Madurai Kamaraj University entrepreneurship ecosystem,Madurai,Education and startups,https://mkuniversity.ac.in/,,,https://mkuniversity.ac.in/,2026-07-11,Needs manual verification,University programs,Student project and automation needs,Event and certificate automation,B,70,Not contacted,Find incubation contact,,10000,Institutional path
SL037,Thiagarajar College of Engineering incubation ecosystem,Madurai,Education and startups,https://www.tce.edu/,,,https://www.tce.edu/,2026-07-11,Needs manual verification,Engineering and innovation programs,Startup and student project support,Trial dashboard project,B,72,Not contacted,Find incubation contact,,10000,Institutional path
SL038,Erode District Small Industries Association,Erode,Industry association,https://www.edissia.org/,,,https://www.edissia.org/,2026-07-11,Needs manual verification,MSME network,Referral to stock and quotation pilots,Association introduction,B,82,Not contacted,Verify official contact,,15000,Ecosystem multiplier
SL039,Salem District Small Scale and Tiny Industries Association,Salem,Industry association,https://www.sagacia.org/,,,https://www.sagacia.org/,2026-07-11,Needs manual verification,MSME network,Referral to quotation and inventory tools,Association introduction,B,78,Not contacted,Verify official contact,,15000,Verify organization identity
SL040,TCIL Freight,Tiruppur,Logistics,https://www.tcil.com/,,,https://www.tcil.com/,2026-07-11,Needs manual verification,Freight and logistics operation,Shipment and POD reporting,Dispatch dashboard,C,55,Research later,Use careers/vendor route,,40000,Large enterprise
SL041,VRL Logistics,Chennai,Logistics,https://www.vrlgroup.in/,,,https://www.vrlgroup.in/,2026-07-11,Needs manual verification,Large logistics network,POD and branch reporting,Branch dashboard,C,52,Research later,Use careers/vendor route,,50000,Not first cold target
SL042,Professional Couriers,Chennai,Logistics,https://www.tpcindia.com/,,,https://www.tpcindia.com/,2026-07-11,Needs manual verification,Distributed courier network,Branch and customer reporting,Status dashboard,C,52,Research later,Use careers/vendor route,,50000,Not first cold target
SL043,PSG STEP,Coimbatore,Startup incubator,https://www.psgstep.org/,,,https://www.psgstep.org/,2026-07-11,Needs manual verification,Technology incubation,Founder introductions and internships,Scoped startup trial,B,84,Not contacted,Check current programs,,15000,Strong local ecosystem
SL044,FORGE Innovation and Ventures,Coimbatore,Startup accelerator,https://forgeforward.in/,,,https://forgeforward.in/,2026-07-11,Needs manual verification,Innovation and accelerator programs,Startup project introductions,Trial internal tool or dashboard,B,83,Not contacted,Check programs and portfolio,,15000,Strong local ecosystem
SL045,Tamil Nadu Agricultural University incubation ecosystem,Coimbatore,Agritech and education,https://tnau.ac.in/,,,https://tnau.ac.in/,2026-07-11,Needs manual verification,Agritech research and startups,Reporting and workflow tools,Agritech dashboard pilot,B,72,Not contacted,Find incubation contact,,15000,Institutional route
SL046,Rathinam Group training programmes,Coimbatore,Education,https://www.rathinamcollege.edu.in/,,,https://www.rathinamcollege.edu.in/,2026-07-11,Needs manual verification,Events and student programmes,Registration and certificate workflow,Event automation pilot,A,85,Not contacted,Use campus introduction,,8000,Warm campus route
SL047,Government College of Technology incubation ecosystem,Coimbatore,Education and startups,https://gct.ac.in/,,,https://gct.ac.in/,2026-07-11,Needs manual verification,Engineering innovation ecosystem,Project tracking and event workflows,Student innovation dashboard,B,68,Not contacted,Find innovation contact,,10000,Institutional route
SL048,Coimbatore Productivity Council,Coimbatore,Business association,https://www.cpcindia.org/,,,https://www.cpcindia.org/,2026-07-11,Needs manual verification,Productivity and training network,Training and member reporting,Training operations dashboard,B,70,Not contacted,Verify contact route,,12000,Association lead
SL049,Madurai District Tiny and Small Scale Industries Association,Madurai,Industry association,https://maditssia.com/,,,https://maditssia.com/,2026-07-11,Needs manual verification,MSME member network,Referral to small workflow pilots,Association introduction,B,80,Not contacted,Verify contact route,,15000,Ecosystem multiplier
SL050,Tamil Nadu Small and Tiny Industries Association,Chennai,Industry association,https://tanstia.org/,,,https://tanstia.org/,2026-07-11,Needs manual verification,State MSME network,Referral and event workflows,Member referral and pilot request,B,79,Not contacted,Verify contact route,,15000,Ecosystem multiplier
SL051,Tiruppur Apparel Exports,Tiruppur,Garment manufacturing and export,https://www.tiruppurapparel.com/,sales@tiruppurapparel.com,+91 98409 41767,https://www.tiruppurapparel.com/,2026-07-11,Verified,Public five-stage inquiry-to-delivery process with 24-hour quote turnaround,Quote sampling production and delivery status may require repeated coordination,Buyer order and sampling-status dashboard,A,93,Not contacted,Review and approve daily email,,25000,Daily batch 2026-07-11; official general sales inbox
SL052,Fabric Forge,Tiruppur,Garment manufacturing and export,https://www.fabricforge.in/,fabricforge.co@gmail.com,+91 82204 32328,https://www.fabricforge.in/,2026-07-11,Verified,Public product-development sampling bulk-production and inspection workflow,Milestone reporting may be repeated across buyer orders,Production milestone and buyer-update dashboard,A,91,Not contacted,Review and approve daily email,,25000,Daily batch 2026-07-11; official commercial inbox
SL053,Hagenco Exports Global Clothing Pvt Ltd,Tiruppur,OEM apparel manufacturing,https://www.hagenco.in/,info@hagenco.in,+91 85898 35230,https://www.hagenco.in/,2026-07-11,Verified,Public OEM workflow includes sampling private-label production and shipping,Sample approvals and order milestones may benefit from shared visibility,Sample-approval and order-stage tracker,A,90,Not contacted,Review and approve daily email,,30000,Daily batch 2026-07-11; official general inbox
SL054,Sri Devi Garments,Tiruppur,Garment manufacturing,https://www.sridevigarments.com/contact-us,garmentssridevi@gmail.com,+91 98940 61129,https://www.sridevigarments.com/contact-us,2026-07-11,Verified,Official site lists multiple factories and collaboration enquiries,Multi-factory order visibility may require repeated manual updates,Multi-factory order-status dashboard,B,87,Not contacted,Review and approve daily email,,30000,Daily batch 2026-07-11; official general inbox
SL055,Colorgraph Packaging,Coimbatore,Flexible packaging and digital printing,https://colorgraph.in/,info@colorgraph.in,+91 90039 53554,https://colorgraph.in/,2026-07-11,Verified,Public site promotes short-run cylinder-less pouch and roll printing,Short-run custom quotation may involve repeated size material and quantity calculations,Flexible-packaging quotation calculator,A,92,Not contacted,Review and approve daily email,,20000,Daily batch 2026-07-11; official general inbox
SL056,Sharp Sales and Service,Coimbatore,Industrial pumps and equipment sales,https://www.sharppumps.com/,,,https://www.sharppumps.com/,2026-07-11,Needs manual verification,Large public catalog of pumps motors compressors and machinery,Contact route is broken so buyer workflow cannot be verified,Product enquiry tracker,C,62,Research later,Find valid public contact before outreach,,10000,Daily industrial run 2026-07-11; contact page returned 404; no email found; do not send
SL057,Deccan Pumps,Coimbatore,Pump manufacturing,https://www.deccanpumps.com/,info@deccanpumps.com,+91 0422 2531141,https://www.deccanpumps.com/contact/,2026-07-11,Verified,Official site lists multiple pump product categories and contact form fields,Product enquiries and dealer/customer quote requests may need tracking,Pump enquiry and quote tracker,A,90,Not contacted,Review draft and sender gate,,15000,Daily industrial run 2026-07-11; official business email verified
SL058,Pricol,Coimbatore,Automotive components manufacturing,https://pricol.com/,connect@pricol.com,+91 422 433 6000,https://pricol.com/contact-us/,2026-07-11,Verified,Public site describes manufacturing excellence and multiple solution verticals,Large manufacturer may have structured vendor process and higher access risk,Small supplier enquiry dashboard,B,86,Not contacted,Research right department before email,,30000,Daily industrial run 2026-07-11; official contact verified; not selected for first send
SL059,Aqua Group,Coimbatore,Pump manufacturing,https://www.aquagroup.in/,enquiry@aquagroup.in,1800 572 2324,https://www.aquagroup.in/contact-us/,2026-07-11,Verified,Official site lists many pump divisions products and manufacturing excellence,Dealer/customer enquiries and service requests may need structured tracking,Dealer enquiry and service tracker,A,92,Not contacted,Review draft and sender gate,,20000,Daily industrial run 2026-07-11; official business email verified
SL060,SEForge,Coimbatore,Engineering components casting and forging,https://www.seforge.com/,info@seforge.com,+91 421 2353400,https://www.seforge.com/contact-us/,2026-07-11,Verified,Official site describes casting forging facilities and applications,RFQ production milestone and dispatch visibility may need lightweight coordination,Casting RFQ and production milestone tracker,A,91,Not contacted,Review draft and sender gate,,25000,Daily industrial run 2026-07-11; official business email verified
