id,opportunity,provider,country_or_scope,funding_category,funding_snapshot,deepan_timing_fit,key_eligibility_or_constraint,application_route,deadline_status,official_url,last_verified,unstable_fact_flag
"11","Imperial Excellence Bursary","Imperial Business School","UK","Major","Up to GBP 25,000 in current 2026 cycle","Potential if financial need is substantial and application is excellent","Self-funded offer-holder in eligible early rounds; merit/potential plus demonstrated financial need","Offer-holder process per offer email","2028 dates TBD/verify","https://www.imperial.ac.uk/business-school/masters/innovation-entrepreneurship-management/fees-and-funding/","2026-07-12","Yes"
"12","WBS Master's Scholarships","Warwick Business School","UK","Partial","School scholarship levels and names vary by cycle","Good for Warwick analytics target","Offer-holder; merit and award-specific criteria","Often considered with admission/offer process; verify","2028 cycle TBD/verify","https://www.wbs.ac.uk/courses/masters/scholarships/","2026-07-12","Yes"
"13","France Excellence Eiffel","French Ministry for Europe and Foreign Affairs / Campus France","France","Major","Current master's award provides EUR 1,200 monthly allowance plus specified direct services; tuition treatment depends on diploma/institution and program costs are not generally covered","Strong only if a French school agrees to nominate Deepan","Foreign applicant age limit currently 29 at master's level; economics/management is eligible; institution submits, not student","Nomination by French higher-education institution","2028 call TBD; 2026 institutional deadline was 2026-01-08","https://www.campusfrance.org/en/france-excellence-eiffel-scholarship-program","2026-07-12","Yes"
"14","HEC Foundation Scholarships","HEC Paris","France","Major","Merit and need-based tuition support varies","Strong for HEC MiM Dream application","Admitted HEC candidate; award-specific merit/need criteria","HEC admission/financial process; verify award route","2028 cycle TBD/verify","https://www.hec.edu/en/master-s-programs/financing","2026-07-12","Yes"
"15","INSEAD MIM Diversity and Achievement Scholarships","INSEAD","France/Singapore","Partial","Current MIM awards vary; current FAQ states admitted candidates are considered and publishes changing cohort averages","Strong for INSEAD Dream application","Admitted MIM candidate; diversity or academic/personal achievement","No separate application for stated MIM Diversity/Achievement awards","2028 cycle TBD/verify","https://www.insead.edu/master-programmes/master-management/financing","2026-07-12","Yes"
"16","ESSEC Academic Excellence and Diversity Scholarships","ESSEC Business School","France/Singapore","Partial","Tuition reductions vary by program/cycle","Good for ESSEC MiM","Admitted international candidate; academic excellence/diversity criteria","Usually considered during admission; verify exact process","2028 cycle TBD/verify","https://www.essec.edu/en/pages/financing-your-program/","2026-07-12","Yes"
"17","NL Scholarship","Dutch Ministry of Education and participating institutions","Netherlands","Small","Historically a one-time contribution; amount and participating institutions can change","Useful supplement, not base funding","Non-EEA first-time applicants to participating program/institution; institution rules control","Apply through participating institution","2028 cycle TBD/verify","https://www.studyinnl.org/finances/nl-scholarship","2026-07-12","Yes"
"18","RSM Non-EEA Scholarship of Excellence","Rotterdam School of Management","Netherlands","Major","Current award generally reduces non-EEA tuition; exact value/number changes","Excellent for RSM BIM target","Excellent non-EEA applicant; must meet program and scholarship timing","RSM application route; submit before scholarship cutoff","2028 TBD; current RSM guidance says scholarship applicants apply by 1 March","https://www.rsm.nl/education/scholarships/","2026-07-12","Yes"
"19","Erasmus Trustfonds Scholarship","Erasmus University Rotterdam","Netherlands","Major","Award amount and eligible faculties/programs vary","Potential for Erasmus/RSM study if current criteria include program/nationality","Excellent academic record and financial need/award-specific eligibility","Institution/faculty application","2028 cycle TBD/verify","https://www.eur.nl/en/education/practical-matters/financial-matters/scholarships-grants","2026-07-12","Yes"
"20","Government of Ireland International Education Scholarship","Government of Ireland / HEA","Ireland","Full funding","Full fee waiver from host HEI plus EUR 10,000 stipend for one year in current 2026 call","Top priority for eligible Ireland master's","Non-EU/EEA/Swiss/UK origin; must hold conditional/final eligible-program offer; outstanding academics and broader contribution","Separate HEA application after securing eligible offer","2026 closed on 2026-03-12; 2028 TBD","https://hea.ie/policy/internationalisation/goi-ies/","2026-07-12","Yes"
"21","UCD Global Excellence Scholarships","University College Dublin","Ireland","Major","Awards can include partial or full tuition in selected cycles/regions; exact availability varies","High priority for UCD Business Analytics","International fee-paying applicant with offer; region/program and deadline rules","Separate UCD scholarship application after eligible offer","2028 cycle TBD/verify","https://www.ucd.ie/global/scholarships/globalexcellencescholarships/","2026-07-12","Yes"
"22","Trinity Global Excellence Postgraduate Scholarships","Trinity College Dublin","Ireland","Partial","Tuition contribution; value varies by faculty/region/cycle","Useful for Trinity analytics but not full cost solution","Non-EU postgraduate offer-holder; academic excellence and contribution","Regional/faculty application after offer","2028 cycle TBD/verify","https://www.tcd.ie/study/international/scholarships/postgraduate/gexpg.php","2026-07-12","Yes"
"23","University of Galway Global Achievement Scholarship","University of Galway","Ireland","Partial","Tuition reduction varies; school-specific awards may also exist","Good for lower-cost Ireland target","Eligible international offer-holder; program/region rules","University/school process; verify whether automatic","2028 cycle TBD/verify","https://www.universityofgalway.ie/international-students/feesfinance/internationalscholarships/","2026-07-12","Yes"
"24","DAAD Development-Related Postgraduate Courses (EPOS)","DAAD","Germany","Full funding","Scholarship package for listed development-related courses","Low immediate fit; database-quality option only if a listed tech/business program and experience rules align","Usually at least two years professional experience and listed EPOS course; not a general scholarship for any German master's","Apply to listed course under DAAD instructions","Annual course-specific deadlines; 2028 TBD/verify","https://www.daad.de/en/studying-in-germany/scholarships/daad-funding-programmes/epos/","2026-07-12","Yes"
"25","TUM Tuition Fee Waivers and Scholarships for International Students","Technical University of Munich","Germany","Major","Need/merit-based waivers or scholarships may reduce third-country tuition; exact schemes vary","High priority if TUM MMT is retained","TUM admission plus scheme-specific need/merit/status criteria","TUM waiver/scholarship application","2028 deadlines TBD/verify","https://www.tum.de/en/studies/fees/tuition/scholarships-and-waivers","2026-07-12","Yes"
"26","ESMT Master Scholarships","ESMT Berlin","Germany","Major","Merit/diversity/social-impact tuition awards vary; some can be substantial","Strong for ESMT MIE if Track A impact is measurable","Admitted master applicant; award-specific essay/profile criteria","Program application and scholarship questions","2028 cycle TBD/verify","https://esmt.berlin/degrees/tuition-financing/scholarships","2026-07-12","Yes"
"27","NUS BAC Scholarships","National University of Singapore Business Analytics Centre","Singapore","Major","Merit-based MSBA scholarships; value/number varies","Top priority if NUS MSBA remains on list","NUS MSBA applicant; merit and scholarship deadline earlier than final program deadline in current cycle","MSBA scholarship application per program process","2028 TBD; AY2026/27 scholarship cutoff was 2025-12-15","https://masters.nus.edu.sg/scholarships-financial-assistance/detail/nus-bac-scholarships","2026-07-12","Yes"
"28","Melbourne Graduate Scholarship / Faculty Awards","University of Melbourne","Australia","Partial","Coursework-master awards and fee remissions vary by faculty and year","Only relevant if Melbourne enters final list and total funding gap is acceptable","International graduate coursework applicant; award-specific eligibility","Often automatic or separate depending award","2028 cycle TBD/verify","https://scholarships.unimelb.edu.au/","2026-07-12","Yes"
"29","JN Tata Endowment Loan Scholarship","JN Tata Endowment","Global","Major","Merit-based loan scholarship for overseas higher education; amount and terms vary","Potential gap funding after admission; repayable, so not grant funding","Indian citizen; graduate; age and selection rules apply; competitive interview","Direct foundation application","2028 cycle TBD/verify","https://jntataendowment.org/loan-scholarship-process/","2026-07-12","Yes"
"30","K. C. Mahindra Scholarship for Post-Graduate Studies Abroad","K. C. Mahindra Education Trust","Global","Major","Interest-free loan scholarship; top awards and standard awards vary by cycle","Potential gap funding after admission; repayable","Indian citizen with strong academics and admission/application evidence; foundation rules control","Direct trust application","2028 cycle TBD/verify","https://www.kcmet.org/what-we-do-Scholarship-Grants.aspx","2026-07-12","Yes"
