"manual_id","industry_id","sequence","stage","trigger","primary_roles","required_inputs","key_record","decision_or_control","common_exception","metric_candidate","evidence_type","validation_question","last_verified"
"TA-WF-023","TA-IND-03","7","Pack and ship","Final release","Packing merchandiser logistics","Size-color ratio tags carton marks documents","Packing list","Reconcile assortment and shortage","Wrong ratio or document delay","On-time shipment","General pattern","How are shortages reconciled before carton close?","2026-07-12"
"TA-WF-024","TA-IND-03","8","Settle and learn","Shipment or claim","Accounts quality merchandiser","Invoice acceptance chargeback and claim evidence","Post-cost and claim","Correct style cost and root cause","Chargeback or air freight","Order contribution","General pattern","Which shipped value was withheld and why?","2026-07-12"
"TA-WF-025","TA-IND-04","1","RFQ and feasibility","Customer RFQ","Sales engineering quality","Part revision quantity material process quality delivery","Feasibility review","Confirm capability and requirement revision","Skipped feasibility","RFQ response and change count","General pattern","Which check is skipped under pressure?","2026-07-12"
"TA-WF-026","TA-IND-04","2","Cost and order","Feasible RFQ","Costing owner sales","Material operations tooling subcontract scrap overhead","Quote and PO","Approve assumptions and commercial terms","Actual route differs from quote","Quote-to-actual contribution","General pattern","Compare one repeat and one new part","2026-07-12"
"TA-WF-027","TA-IND-04","3","Engineer and plan","Accepted order","Engineering planning","Revision BOM route capacity due date","Work order","Release correct master data and sequence","Wrong revision or unavailable constraint","Ready-to-release rate","General pattern","What resource truly constrains the week?","2026-07-12"
"TA-WF-028","TA-IND-04","4","Buy and receive","Material requirement","Procurement stores quality","Specification supplier quantity lead time lot","PO GRN inspection","Accept conforming quantity and reserve it","Late or nonconforming supply","Supplier on-time quality","General pattern","Which supplier event changed the schedule?","2026-07-12"
"TA-WF-029","TA-IND-04","5","Make and record","Released work order","Production operator supervisor","Traveler material tool setup operation standard","Job traveler","Record good reject time and hold","Queue downtime or missing tool","Schedule attainment and WIP","General pattern","Can waiting be separated from run time?","2026-07-12"
"TA-WF-030","TA-IND-04","6","Inspect and dispose","Inspection point or defect","Quality production","Drawing control plan readings lot and defect","Inspection and NCR","Contain and approve disposition","Affected stock not traceable","First-pass yield and NCR aging","General pattern","Can the last rejection be contained by lot?","2026-07-12"
"TA-WF-031","TA-IND-04","7","Dispatch and bill","Accepted finished quantity","Dispatch accounts","Packing certificates order and transport","Dispatch and invoice","Confirm commercial and quality readiness","Document hold or partial shipment","Dispatch-to-invoice lag","General pattern","What must be true before dispatch?","2026-07-12"
"TA-WF-032","TA-IND-04","8","Claim and improve","Field or customer rejection","Quality engineering accounts","Part revision lot complaint and disposition","Claim and corrective action","Protect similar stock and correct cause","Evidence gap or repeated failure","Warranty and repeat-defect rate","General pattern","How does one complaint trigger containment?","2026-07-12"
"TA-WF-033","TA-IND-05","1","Assort and buy","Reorder demand or opportunity","Owner buyer","SKU unit demand stock terms supplier scheme","Purchase order","Use effective cost and working-capital effect","Attractive scheme creates excess","Stock turn and supplier fill","General pattern","Which term creates dead stock?","2026-07-12"
"TA-WF-034","TA-IND-05","2","Receive and identify","Supplier delivery","Receiver store accounts","PO invoice SKU unit lot expiry quantity condition","Goods receipt","Match identity unit quantity and condition","Wrong item unit or hidden damage","Receiving discrepancy rate","General pattern","Where do records first diverge from physical stock?","2026-07-12"
"TA-WF-035","TA-IND-05","3","Put away and price","Accepted receipt","Store buyer counter","Location barcode price and promotion","Item and location record","Maintain one item identity and sellable state","Duplicate item or wrong price","Time to shelf and item accuracy","General pattern","Do purchasing and POS use the same unit?","2026-07-12"
"TA-WF-036","TA-IND-05","4","Order and allocate","Customer request","Counter sales owner","Customer SKU quantity rate credit delivery","Sales order","Approve price substitution and credit","Message ambiguity or unavailable stock","Fill rate and order-entry correction","General pattern","What is lost when message orders are retyped?","2026-07-12"
"TA-WF-037","TA-IND-05","5","Pick bill and handover","Allocated order or counter sale","Picker cashier delivery","Order stock payment and tax data","Pick list and invoice","Match picked billed and handed quantity","Mis-pick unbilled item or discount","Pick accuracy and basket margin","General pattern","Where can staff bypass scanning or billing?","2026-07-12"
"TA-WF-038","TA-IND-05","6","Deliver and collect","Delivery order","Delivery accounts customer","Address proof payment or credit state","POD and receipt","Close delivered quantity and payment state","Failed delivery or unpaid COD","Delivery success and receivable aging","General pattern","How are partial and unpaid lines kept visible?","2026-07-12"
"TA-WF-039","TA-IND-05","7","Return and claim","Customer or supplier return","Counter store buyer accounts","Reason condition invoice lot and disposition","Return and credit note","Separate sellable quarantine supplier return and write-off","Returned stock silently restocked","Return aging and write-off","General pattern","Who decides the returned item disposition?","2026-07-12"
"TA-WF-040","TA-IND-05","8","Reconcile and replenish","Daily close or count","Owner buyer accounts store","Sales receipts stock adjustments aging and demand","Daily reconciliation","Act on stock exceptions and cash gaps","Negative stock dead stock or payment mismatch","Inventory accuracy and stockout","General pattern","Which exception is measured and acted on today?","2026-07-12"
